№,name,price,description,image URL
89,Land Rover Range Rover,"2019 г., 4.4 л., автомат,внедорожник 5 дв., дизель,руль слева, 87 000 км",$ 105 000,https://im.mashina.kg/tachka/images//6/2/3/623780f0ac352e945592beb58b34e0bc_240x180.jpg
90,Mercedes-Benz S-класс,"2011 г., 4.7 л., автомат,седан, бензин,руль слева, 169 000 км",$ 24 000,https://im.mashina.kg/tachka/images//9/0/f/90f0dba4edda6e3cc7ed815a9329c638_240x180.jpg
91,BMW X5,"2018 г., 3 л., автомат,внедорожник 5 дв., дизель,руль слева, 55 768 км",$ 89 000,https://im.mashina.kg/tachka/images//a/f/d/afdde128de9aef7a3489204ec4653259_240x180.jpg
92,Kia Sorento,"2017 г., 2.2 л., автомат,внедорожник 5 дв., дизель,руль слева, 141 000 км",$ 28 500,No image!
93,Daihatsu Cuore,"2008 г., 1 л., механика,хэтчбек 5 дв., бензин,руль слева, 210 000 км",$ 5 500,https://im.mashina.kg/tachka/images//8/9/0/8901ac907cfc1956bb18748872584630_240x180.jpg
94,Toyota Prius,"2012 г., 1.8 л., автомат,хэтчбек 5 дв., гибрид,руль слева, 240 000 км",$ 14 500,https://im.mashina.kg/tachka/images//c/1/c/c1cfed6b380663f5debf808d6991fda9_240x180.jpg
95,Lexus GX,"2008 г., 4.7 л., автомат,внедорожник 5 дв., бензин,руль слева, 131 000 км",$ 28 700,https://im.mashina.kg/tachka/images//3/a/6/3a6c3f57e761d03c1a0a9bf8f1334258_240x180.jpg
96,Hyundai Santa Fe,"2018 г., 2.2 л., автомат,внедорожник 5 дв., дизель,руль слева, 115 000 км",$ 31 500,https://im.mashina.kg/tachka/images//1/0/d/10decb72af56a9f5c83b2072ff81fcf6_240x180.jpg
97,BMW X7,"2020 г., 3 л., автомат,внедорожник 5 дв., бензин,руль слева, 68 000 км",$ 117 000,https://im.mashina.kg/tachka/images//c/3/c/c3c1eab5a0ed8a4848ac4c2e55921889_240x180.jpg
98,BMW 7 серии,"2017 г., 4.4 л., автомат,седан, бензин,руль слева, 145 000 км",$ 53 900,https://im.mashina.kg/tachka/images//0/3/a/03a203de9be6474c5e41a002af625b60_240x180.jpg
99,Toyota Camry,"2016 г., 2.5 л., автомат,седан, бензин,руль слева, 180 000 км",$ 16 900,https://im.mashina.kg/tachka/images//f/2/d/f2db553e5723944462652cc1b4f26545_240x180.jpg
100,Hyundai Santa Fe,"2018 г., 2 л., автомат,внедорожник 5 дв., дизель,руль слева, 91 000 км",$ 27 000,https://im.mashina.kg/tachka/images//3/6/f/36f0448eca3e6da5c69cbf622f2f0848_240x180.jpg
